High_Regress,Low_Regress,Open_Regress,Close_Regress,High_RNN,Low_RNN,Open_RNN,Close_RNN,Target_high,Target_low
205.81892,202.15549,203.38446,204.48573,88.7855,85.69516,87.67757,85.81652,28.03199958801269,27.72050094604492
202.35077,198.73457,199.9518,201.03116,88.77834,85.6879,87.67031,85.80922,28.32550048828125,27.674999237060547
200.58844,196.99626,198.2075,199.27574,88.782585,85.692184,87.67464,85.81356,28.347999572753903,28.106000900268555
204.4804,200.83519,202.05963,203.15245,88.77702,85.686554,87.668976,85.80787,28.354999542236328,28.224000930786133
207.89345,204.20175,205.43774,206.55214,88.776924,85.68645,87.66889,85.80778,28.48200035095215,28.152999877929688
206.28664,202.61682,203.84738,204.95161,88.77472,85.684235,87.666626,85.80552,29.0939998626709,28.40449905395508
205.24847,201.5928,202.81985,203.91753,88.821754,85.731834,87.71448,85.853584,29.00349998474121,28.350000381469727
206.18402,202.51561,203.74582,204.8494,88.79527,85.70506,87.68748,85.8265,28.35950088500977,27.91550064086914
204.3647,200.72107,201.94511,203.0372,88.780594,85.690216,87.672516,85.81148,28.203500747680664,27.84650039672852
202.63477,199.01471,200.2329,201.31406,88.77746,85.687035,87.66932,85.80827,28.107999801635746,27.839500427246094
205.06001,201.40692,202.63332,203.7298,88.7832,85.69283,87.67519,85.814156,28.122499465942383,27.73349952697754
205.34183,201.68488,202.91223,204.0105,88.776344,85.68589,87.66825,85.80717,27.924999237060547,27.30150032043457
205.73053,202.0683,203.29697,204.39767,88.767204,85.67658,87.65907,85.79788,27.39999961853028,27.02199935913086
209.26138,205.55104,206.79169,207.9147,88.76343,85.67261,87.655464,85.79411,27.277000427246094,26.78499984741211
209.23648,205.52647,206.76703,207.8899,88.762634,85.67151,87.65521,85.79352,27.507999420166016,27.179500579833984
211.64963,207.90675,209.15549,210.2936,88.76263,85.67142,87.65534,85.793564,27.575000762939453,27.299999237060547
210.45364,206.72707,207.97174,209.1023,88.763405,85.67229,87.65596,85.79428,27.4685001373291,27.09749984741211
208.12256,204.42773,205.66452,206.78035,88.76356,85.672485,87.65605,85.79441,27.49250030517578,27.249000549316406
208.79013,205.08621,206.32526,207.4453,88.76306,85.67195,87.65561,85.79394,27.66349983215332,27.315000534057617
205.41899,201.761,202.98862,204.08737,88.76317,85.672035,87.655785,85.794075,27.328500747680664,26.78700065612793
207.00467,203.32507,204.55806,205.66684,88.76166,85.67017,87.65482,85.79276,27.159500122070312,26.61849975585937
209.7718,206.05452,207.29689,208.42314,88.76171,85.670204,87.654915,85.79284,27.261499404907227,26.905000686645508
207.81572,204.12508,205.36082,206.4747,88.76156,85.669945,87.654945,85.79275,26.989999771118164,26.450000762939453
210.34358,206.6185,207.86281,208.99268,88.76138,85.66991,87.65453,85.79248,27.290000915527344,26.667499542236328
208.4637,204.76424,206.00217,207.12015,88.76191,85.67045,87.65505,85.79301,27.388500213623047,27.11050033569336
206.86795,203.19022,204.42274,205.53065,88.7619,85.67044,87.65507,85.793015,27.549999237060547,27.06599998474121
210.165,206.44235,207.68605,208.81479,88.76318,85.67206,87.6558,85.79411,28.058500289916992,27.503999710083008
210.56804,206.8399,208.08498,209.21625,88.76771,85.6771,87.65959,85.7984,29.23500061035156,28.417499542236328
212.49585,208.74144,209.99304,211.1365,88.80662,85.71657,87.69896,85.838066,28.775999069213867,28.114999771118164
213.17294,209.40932,210.66321,211.81094,88.80877,85.71877,87.70114,85.84026,28.39150047302246,28.04800033569336
213.05858,209.29651,210.55002,211.69702,88.78899,85.69877,87.68098,85.82004,28.29199981689453,27.950000762939453
213.61938,209.84967,211.10509,212.25563,88.7747,85.68432,87.66641,85.80541,28.05550003051757,27.336000442504883
213.31555,209.54999,210.80437,211.95299,88.7675,85.67704,87.65908,85.79806,27.56100082397461,27.1924991607666
214.97198,211.18385,212.44385,213.60294,88.76622,85.67572,87.65782,85.79677,27.83449935913086,27.36949920654297
214.77028,210.9849,212.2442,213.40201,88.764755,85.674194,87.65641,85.7953,27.63050079345703,27.11849975585937
213.82115,210.04869,211.3048,212.45662,88.76324,85.672646,87.65489,85.79377,27.19650077819824,26.61199951171875
