Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company_name
2015-01-02 00:00:00-05:00,131.9687797632474,132.5937220312162,129.52105833536507,130.51055908203125,6814541,0.0,0.0,GE
2015-01-05 00:00:00-05:00,130.25021080988725,130.25021080988725,127.69832697102048,128.11495971679688,6999789,0.0,0.0,GE
2015-01-06 00:00:00-05:00,127.3858254436373,127.958693678726,124.62561927112561,125.354736328125,10617953,0.0,0.0,GE
2015-01-07 00:00:00-05:00,126.0838059497407,127.02123245904042,124.8859824526593,125.40677642822266,7267786,0.0,0.0,GE
2015-01-08 00:00:00-05:00,126.65669434008998,126.96917871568091,125.66719356798629,126.9170913696289,7198159,0.0,0.0,GE
2015-01-09 00:00:00-05:00,127.69826006532053,127.75033416866722,124.7297450359889,125.14637756347656,7182805,0.0,0.0,GE
2015-01-12 00:00:00-05:00,125.35474450425119,125.71928982295279,123.7923620518408,124.88602447509766,7139324,0.0,0.0,GE
2015-01-13 00:00:00-05:00,126.34425463551449,126.70881321429452,123.06326712722509,124.26107788085938,6856506,0.0,0.0,GE
2015-01-14 00:00:00-05:00,123.1673537797937,124.20894163620363,121.917456292244,123.8443832397461,6969414,0.0,0.0,GE
2015-01-15 00:00:00-05:00,124.26101781200147,124.83389908274202,122.6986492348497,122.80281066894531,5242381,0.0,0.0,GE
2015-01-16 00:00:00-05:00,122.43829441674734,123.16739823927519,122.12582324046043,122.85492706298828,8292178,0.0,0.0,GE
2015-01-20 00:00:00-05:00,124.15690263149364,124.31313820740323,122.6465945193614,124.20897674560547,7420927,0.0,0.0,GE
2015-01-21 00:00:00-05:00,124.10480886099518,125.40679398215008,123.47986658969955,125.19847106933594,6264909,0.0,0.0,GE
2015-01-22 00:00:00-05:00,126.55252773732465,126.86501210021339,124.78183594858105,126.44837951660156,7848442,0.0,0.0,GE
2015-01-23 00:00:00-05:00,127.22957030071083,129.62521782570235,126.50046651350992,127.4899673461914,10614406,0.0,0.0,GE
2015-01-26 00:00:00-05:00,128.73984995621737,128.84401139806423,127.07330658738276,128.0628204345703,6523796,0.0,0.0,GE
2015-01-27 00:00:00-05:00,127.0212742555401,127.38583280510719,126.03177331651622,126.96920013427734,6394436,0.0,0.0,GE
2015-01-28 00:00:00-05:00,127.43790867717043,127.54207015470288,124.00067255363201,124.15692138671875,8268847,0.0,0.0,GE
2015-01-29 00:00:00-05:00,124.15687882701354,126.031731845613,123.84439450153259,125.40677642822266,6733874,0.0,0.0,GE
2015-01-30 00:00:00-05:00,124.36521764276118,125.56304142075173,124.05274647757223,124.41730499267578,9111223,0.0,0.0,GE
2015-02-02 00:00:00-05:00,124.99016950773934,126.13590590190822,124.46937542545375,126.08383178710938,6595004,0.0,0.0,GE
2015-02-03 00:00:00-05:00,126.5004624124963,127.75036025013799,126.34422683698786,127.4378890991211,6282144,0.0,0.0,GE
2015-02-04 00:00:00-05:00,127.12542581754846,127.2295740519518,125.40680791341977,125.82344055175781,5534791,0.0,0.0,GE
2015-02-05 00:00:00-05:00,126.29211413950492,127.59408569335938,126.24002680786592,127.59408569335938,4271062,0.0,0.0,GE
2015-02-06 00:00:00-05:00,127.8024188844175,128.8960809008385,127.43786046775347,127.69825744628906,4574912,0.0,0.0,GE
2015-02-09 00:00:00-05:00,127.4378896112951,128.89611037785804,127.33372814934614,128.3232421875,4543605,0.0,0.0,GE
2015-02-10 00:00:00-05:00,129.0002804783745,129.15651606497326,127.8545307873586,128.73988342285156,4508933,0.0,0.0,GE
2015-02-11 00:00:00-05:00,128.687805487356,129.2606869915677,128.11493721672025,129.0002899169922,4072541,0.0,0.0,GE
2015-02-12 00:00:00-05:00,129.20855059101015,130.14597705693473,128.68775663954418,129.62518310546875,4416759,0.0,0.0,GE
2015-02-13 00:00:00-05:00,130.14601330346602,131.08344003047017,129.88561625521072,130.97927856445312,5508180,0.0,0.0,GE
2015-02-17 00:00:00-05:00,130.82303802021508,131.29175798272635,130.09393425289926,131.08343505859375,5993331,0.0,0.0,GE
2015-02-18 00:00:00-05:00,131.7084145146969,131.7084145146969,130.97929738140462,131.50009155273438,5119265,0.0,0.0,GE
2015-02-19 00:00:00-05:00,131.55259820214388,132.49864207857263,131.13213574097804,131.44747924804688,5534275,1.381133,0.0,GE
2015-02-20 00:00:00-05:00,130.76428620610275,132.55125582653145,130.34382355160355,132.4987030029297,6642848,0.0,0.0,GE
2015-02-23 00:00:00-05:00,132.55121237317604,132.97167488983789,131.92051192057124,132.28842163085938,5124877,0.0,0.0,GE
2015-02-24 00:00:00-05:00,132.02561438745502,133.76003039892595,131.86794263281627,133.44468688964844,7071547,0.0,0.0,GE
2015-02-25 00:00:00-05:00,133.76001960861052,136.96606066345154,133.70746681304445,136.1776885986328,11360610,0.0,0.0,GE
