Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company_name
2017-01-03 00:00:00-05:00,47.73379103671413,48.53996237720961,47.66590142451646,48.32781219482422,3383000,0.0,0.0,EMR
2017-01-04 00:00:00-05:00,48.41266687647007,48.74362061504279,47.81016118639384,48.039283752441406,4155400,0.0,0.0,EMR
2017-01-05 00:00:00-05:00,47.96291106094064,48.29386480984423,47.01247920101028,47.64044189453125,2657100,0.0,0.0,EMR
2017-01-06 00:00:00-05:00,47.6828753651869,48.056261770004845,47.52164238675051,47.861083984375,1785800,0.0,0.0,EMR
2017-01-09 00:00:00-05:00,48.20051586761529,48.20900368685054,47.66589655620358,47.68286895751953,2130900,0.0,0.0,EMR
2017-01-10 00:00:00-05:00,47.92897234496752,48.472076333917045,47.85259814419929,48.107177734375,2535000,0.0,0.0,EMR
2017-01-11 00:00:00-05:00,48.115661155938,48.862430691044814,47.96291276836718,48.85394287109375,2685800,0.0,0.0,EMR
2017-01-12 00:00:00-05:00,48.701206746428014,48.79455336646529,48.175075077401885,48.76909637451172,2550700,0.0,0.0,EMR
2017-01-13 00:00:00-05:00,48.83696732934697,48.9642587231926,48.31083582661729,48.472068786621094,2964500,0.0,0.0,EMR
2017-01-17 00:00:00-05:00,48.20051864185527,48.43812903680006,47.521638735915985,47.784706115722656,3152600,0.0,0.0,EMR
2017-01-18 00:00:00-05:00,47.88654277131251,48.667253943179865,47.74227895389478,48.55693817138672,2575400,0.0,0.0,EMR
2017-01-19 00:00:00-05:00,49.64314202568976,50.33899435579542,49.456448831754884,49.583740234375,5955100,0.0,0.0,EMR
2017-01-20 00:00:00-05:00,49.643139847847856,49.98258141517365,49.549793254975526,49.923179626464844,4193900,0.0,0.0,EMR
2017-01-23 00:00:00-05:00,49.80437363853943,50.00803922974626,49.21884032419625,49.464935302734375,3174500,0.0,0.0,EMR
2017-01-24 00:00:00-05:00,49.65162333528926,50.44082221033516,49.473417973092985,50.16078567504883,3202100,0.0,0.0,EMR
2017-01-25 00:00:00-05:00,50.568119645107,51.23851502543652,50.42385583193816,51.136680603027344,4133100,0.0,0.0,EMR
2017-01-26 00:00:00-05:00,51.07727585452799,51.70524180778007,50.75480991368014,50.98393249511719,3469500,0.0,0.0,EMR
2017-01-27 00:00:00-05:00,51.39125740723281,51.39125740723281,50.924524452036486,51.03484344482422,3260600,0.0,0.0,EMR
2017-01-30 00:00:00-05:00,51.000908614294694,51.009396435405996,49.83832638300191,50.18625259399414,5213900,0.0,0.0,EMR
